127.0.0.1 - - [19/Mar/2025:10:17:56 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/module2_login.html HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/css/bootstrap.min.css HTTP/1.1" 200 162763
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/js/bootstrap.min.js HTTP/1.1" 200 59733
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/css/uf-style.css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/img/login.jpg HTTP/1.1" 200 218768
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/js/popper.min.js HTTP/1.1" 200 18872
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:14 +0530] "GET /vertical_farming/assets/img/favicon.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:20:59 +0530] "GET /vertical_farming/module2_login.html HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:04 +0530] "GET /vertical_farming/module2_register.html HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:04 +0530] "GET /vertical_farming/assets/img/regw2.jpg HTTP/1.1" 200 447742
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:06 +0530] "GET /vertical_farming/module2_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:48 +0530] "GET /vertical_farming/index.html HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:48 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:48 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:21:50 +0530] "GET /vertical_farming/module3_login.html HTTP/1.1" 200 3353
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:47 +0530] "GET /vertical_farming/module3_login.html HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:49 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:49 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:49 +0530] "GET /vertical_farming/module4_login.html HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:51 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:51 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:28:52 +0530] "GET /vertical_farming/module5_login.html HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:23 +0530] "GET /vertical_farming/module5_login.html HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:38 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:38 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:44 +0530] "GET /vertical_farming/adminlogin.html HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:44 +0530] "GET /vertical_farming/adminlogin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:44 +0530] "GET /vertical_farming/adminlogin/css/style.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:44 +0530] "GET /vertical_farming/adminlogin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:44 +0530] "GET /vertical_farming/adminlogin/images/bg.jpg HTTP/1.1" 200 832353
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "POST /vertical_farming/adminhomepage.html HTTP/1.1" 200 17727
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/css/style-starter.css HTTP/1.1" 200 298490
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/counter.js HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/images/ab1.jpg HTTP/1.1" 200 238148
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/images/ab.jpg HTTP/1.1" 200 180278
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/images/ab2.jpg HTTP/1.1" 200 172504
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/images/ab3.jpg HTTP/1.1" 200 148902
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:51 +0530] "GET /vertical_farming/adminhomepage/images/ab4.jpg HTTP/1.1" 200 100999
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/ab5.jpg HTTP/1.1" 200 124358
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/banner1.jpg HTTP/1.1" 200 364383
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/banner3.jpg HTTP/1.1" 200 8683898
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/banner4.jpg HTTP/1.1" 200 2676961
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/banner2.jpg HTTP/1.1" 200 203364
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/ab6.jpg HTTP/1.1" 200 197241
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:52 +0530] "GET /vertical_farming/adminhomepage/images/ab7.jpg HTTP/1.1" 200 194723
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/admin_upload.html HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.fileupload.js HTTP/1.1" 200 52067
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/css/style.css HTTP/1.1" 200 11875
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/script.js HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.iframe-transport.js HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.knob.js HTTP/1.1" 200 20723
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.ui.widget.js HTTP/1.1" 200 15324
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:53 +0530] "GET /vertical_farming/veg.jpg HTTP/1.1" 200 260273
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:54 +0530] "GET /vertical_farming/adminuploadencripted/fonts/WorkSans-Regular.ttf HTTP/1.1" 200 135828
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:54 +0530] "GET /vertical_farming/adminuploadencripted/fonts/HoltwoodOneSC.ttf HTTP/1.1" 200 36744
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:55 +0530] "POST /vertical_farming/Adminupload HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:56 +0530] "GET /vertical_farming/adminhomepage.html HTTP/1.1" 200 17727
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:56 +0530] "GET /vertical_farming/adminhomepage/images/banner3.jpg HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:56 +0530] "GET /vertical_farming/adminhomepage/images/banner4.jpg HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:56 +0530] "GET /vertical_farming/adminhomepage/images/banner4.jpg HTTP/1.1" 206 2087137
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:56 +0530] "GET /vertical_farming/adminhomepage/images/banner3.jpg HTTP/1.1" 206 8094074
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:59 +0530] "GET /vertical_farming/admin_view_clieny_report.jsp HTTP/1.1" 200 16670
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:29:59 +0530] "GET /vertical_farming/clv.jpg HTTP/1.1" 200 447742
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:20 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:20 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:20 +0530] "GET /vertical_farming/module2_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:22 +0530] "GET /vertical_farming/module2_mailstatus.html HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:22 +0530] "GET /vertical_farming/statusmail/css/style.css HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:22 +0530] "GET /vertical_farming/statusmail/images/bgimage.jpg HTTP/1.1" 200 65093
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:27 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:27 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:28 +0530] "GET /vertical_farming/module3_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:30 +0530] "GET /vertical_farming/module3_mailstatus.html HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:31 +0530] "GET /vertical_farming/module3_register.html HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:34 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:34 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:36 +0530] "GET /vertical_farming/module4_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:37 +0530] "GET /vertical_farming/module4_register.html HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:39 +0530] "GET /vertical_farming/module4_mailstatus.html HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:45 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:45 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:46 +0530] "GET /vertical_farming/module5_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:48 +0530] "GET /vertical_farming/module5_mailstatus.html HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [19/Mar/2025:10:30:49 +0530] "GET /vertical_farming/module5_register.html HTTP/1.1" 200 3363
