127.0.0.1 - - [28/Feb/2025:16:42:54 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:19 +0530] "GET /vertical_farming/assets/img/favicon.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:20 +0530] "GET /vertical_farming/module3_register.html HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:20 +0530] "GET /vertical_farming/assets/img/regw2.jpg HTTP/1.1" 200 447742
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:20:59 +0530] "POST /vertical_farming/cultivation HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:54 +0530] "POST /vertical_farming/cultivationlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:56 +0530] "GET /vertical_farming/module3_cultivation_homepage.html HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:57 +0530] "GET /vertical_farming/cultivationhomepage/css/style-starter.css HTTP/1.1" 200 285502
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:57 +0530] "GET /vertical_farming/cultivationhomepage/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:57 +0530] "GET /vertical_farming/cultivationhomepage/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:57 +0530] "GET /vertical_farming/cultivationhomepage/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:57 +0530] "GET /vertical_farming/cultivationhomepage/images/ab1.jpg HTTP/1.1" 200 119824
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:58 +0530] "GET /vertical_farming/cultivationhomepage/js/jquery.waypoints.min.js HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:58 +0530] "GET /vertical_farming/cultivationhomepage/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:58 +0530] "GET /vertical_farming/cultivationhomepage/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/js/jquery.countup.js HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/banner2.jpg HTTP/1.1" 200 172116
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/img1.jpg HTTP/1.1" 200 830785
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/bg.jpg HTTP/1.1" 200 38827
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/img2.jpg HTTP/1.1" 200 740333
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/img3.jpg HTTP/1.1" 200 64136
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/img4.jpg HTTP/1.1" 200 225043
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/banner1.jpg HTTP/1.1" 200 395808
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/banner3.jpg HTTP/1.1" 200 3184928
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:21:59 +0530] "GET /vertical_farming/cultivationhomepage/images/banner4.jpg HTTP/1.1" 200 380950
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:22:00 +0530] "GET /vertical_farming/cultivationhomepage/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:32:59 +0530] "GET /vertical_farming/index.html HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:32:59 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:00 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:01 +0530] "GET /vertical_farming/adminlogin.html HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:03 +0530] "GET /vertical_farming/adminlogin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:03 +0530] "GET /vertical_farming/adminlogin/css/style.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:03 +0530] "GET /vertical_farming/adminlogin/images/bg.jpg HTTP/1.1" 200 832353
0:0:0:0:0:0:0:1 - - [28/Feb/2025:17:33:04 +0530] "GET /vertical_farming/adminlogin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
