127.0.0.1 - - [13/Mar/2025:17:02:23 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:54 +0530] "GET /vertical_farming/prodavailability/images/bg1.jpg HTTP/1.1" 200 1141864
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:54 +0530] "GET /vertical_farming/prodavailability/images/bg.jpg HTTP/1.1" 200 150585
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:54 +0530] "GET /vertical_farming/prodavailability/images/bg3.jpg HTTP/1.1" 200 562100
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:55 +0530] "GET /vertical_farming/modul2_processing_data.jsp HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:03:55 +0530] "GET /vertical_farming/clv.jpg HTTP/1.1" 200 447742
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:00 +0530] "GET /vertical_farming/index.html HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:00 +0530] "GET /vertical_farming/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:00 +0530] "GET /vertical_farming/index/images/dots.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:01 +0530] "GET /vertical_farming/adminlogin.html HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:01 +0530] "GET /vertical_farming/adminlogin/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:01 +0530] "GET /vertical_farming/adminlogin/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:01 +0530] "GET /vertical_farming/adminlogin/css/style.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:01 +0530] "GET /vertical_farming/adminlogin/images/bg.jpg HTTP/1.1" 200 832353
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "POST /vertical_farming/adminhomepage.html HTTP/1.1" 200 17727
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/css/style-starter.css HTTP/1.1" 200 298490
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/js/theme-change.js HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/js/owl.carousel.js HTTP/1.1" 200 90057
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/js/counter.js HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab2.jpg HTTP/1.1" 200 172504
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab4.jpg HTTP/1.1" 200 100999
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab.jpg HTTP/1.1" 200 180278
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab3.jpg HTTP/1.1" 200 148902
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab1.jpg HTTP/1.1" 200 238148
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab6.jpg HTTP/1.1" 200 197241
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab7.jpg HTTP/1.1" 200 194723
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:04 +0530] "GET /vertical_farming/adminhomepage/images/ab5.jpg HTTP/1.1" 200 124358
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/images/banner3.jpg HTTP/1.1" 200 8683898
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/images/banner4.jpg HTTP/1.1" 200 2676961
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/images/banner1.jpg HTTP/1.1" 200 364383
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/images/banner2.jpg HTTP/1.1" 200 203364
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/adminhomepage/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:05 +0530] "GET /vertical_farming/admin_upload.html HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/css/style.css HTTP/1.1" 200 11875
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.knob.js HTTP/1.1" 200 20723
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.ui.widget.js HTTP/1.1" 200 15324
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.fileupload.js HTTP/1.1" 200 52067
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:06 +0530] "GET /vertical_farming/adminuploadencripted/js/jquery.iframe-transport.js HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:07 +0530] "GET /vertical_farming/adminuploadencripted/js/script.js HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:07 +0530] "GET /vertical_farming/veg.jpg HTTP/1.1" 200 260273
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:07 +0530] "GET /vertical_farming/adminuploadencripted/fonts/WorkSans-Regular.ttf HTTP/1.1" 200 135828
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:07 +0530] "GET /vertical_farming/adminuploadencripted/fonts/HoltwoodOneSC.ttf HTTP/1.1" 200 36744
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:08 +0530] "POST /vertical_farming/Adminupload HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:09 +0530] "GET /vertical_farming/adminhomepage.html HTTP/1.1" 200 17727
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:14 +0530] "GET /vertical_farming/module2_view_client_request.jsp HTTP/1.1" 200 59640
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:16 +0530] "GET /vertical_farming/module2_upload_data.jsp HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:16 +0530] "GET /vertical_farming/adminuploadencripted/css/bootstrap.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:17 +0530] "POST /vertical_farming/proavaiupload HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:19 +0530] "GET /vertical_farming/modul2_processing_data.jsp HTTP/1.1" 200 146964
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:24 +0530] "POST /vertical_farming/module2_calculation.jsp HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:04:24 +0530] "GET /vertical_farming/vew.jpg HTTP/1.1" 200 510448
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:18:47 +0530] "GET /jewellery_management/bangles_product.jsp HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:18:49 +0530] "GET /jewellery_management/product_page.html HTTP/1.1" 404 1114
